Name,Designation,Company
Ali Asad Lotia,Operability Lead,Equal Experts
Ammara Laeeq,Co Founder,QC Technologies
Tahir Ramzan,PhD Candidate,Virtual University of Pakistan
Ali Zain Banatwala,CEO,Tier Energy
M. Junaid Muzammil,Staff Software Engineer,Symantec
Tooba Mukhtar,Data Science Trainee,Data Science Dojo
Dr. Tafseer Ahmed,Associate Professor,Mohammad Ali Jinnah University
Barkat Khan,Software Engineer,Love For Data
Dr. Noman Islam,Assoc. Prof and HoD,Iqra University
Muhammad Naufil,Student,NED University of Engineering and Technology
Muhammad Taha Anwar,"CEO, Computer Vision Contractor","Bleed-AI, Big Vision LLC"
Shoaib Zafar,Software Engineer Lead,VentureDive
Danish Haroon,Manager - Analytics and Innovation,K-Electric
Syed Danyal Khaliq,Machine Learning Lead,TPL Corporation
Baqar Abbas Jafri,"CEO, Entrepreneur",InvestorsLounge.com
Rahim Rasool,Associate Data Scientist,Data Science Dojo
Waqar Saleem,Assistant Professor,Habib University
Mashood Rastgar,CTO,Sastaticket.pk
Ali Raza Bhayani,CTO,BitWits Pvt. Ltd.
Asif Kamboh,Software Development Manager,Symantec
Amber Nadeem,Lab Engineer,Forman Christian College
